id,name,close_approach_date,diameter_km,velocity_kmh,miss_distance_km,is_hazardous
3739011,(2015 YU7),2025-02-16,0.3148038092,32606.7219384845,24420557.118980688,True
3758923,(2016 RB1),2025-02-16,0.0130028927,41246.9444088022,51547196.017507241,False
3769917,(2017 DU36),2025-02-16,0.0622357573,45707.5365559049,16500925.317649658,False
3838104,(2019 CH1),2025-02-16,0.3388753497,136946.8570535586,66162244.794028892,True
54201808,(2021 SZ3),2025-02-16,0.0291098508,28622.2963032348,72375198.48077414,False
54341442,(2023 CU),2025-02-16,0.0212833496,38443.8392377596,29781916.867425743,False
54487275,(2024 TM2),2025-02-16,0.0136785474,9823.6593544306,38232246.918104542,False
54499276,(2024 UD26),2025-02-16,0.4550299458,33550.8060280475,6420401.097953609,True
54511095,(2024 YQ8),2025-02-16,0.217791025,41062.293286848,9534368.32163692,False
54516845,(2025 BX1),2025-02-16,0.0779901901,37066.4290112263,2762394.666393373,False
54518708,(2025 CO1),2025-02-16,0.041690776,26678.9769137345,6949533.641034171,False
54519240,(2025 CU2),2025-02-16,0.1786652037,57978.8129617808,18732930.519658729,False
54519253,(2025 CM3),2025-02-16,0.0602615057,34383.3000985278,10140848.049835062,False
54519993,(2025 DJ),2025-02-16,0.0223789641,45066.199186053,916671.375396539,False
54519994,(2025 DK),2025-02-16,0.0152700331,68243.3883768247,760991.185117653,False
54519996,(2025 DM),2025-02-16,0.0351754757,31388.6358997136,4836258.164851004,False
54520037,(2025 DS),2025-02-16,0.0747893879,42253.6375316689,6337111.735841759,False
54520178,(2025 DY1),2025-02-16,0.072550428,69840.6966945569,17660072.894308668,False
3368493,(2007 DW),2025-02-23,0.4786741544,93680.626445347,27220020.357345408,False
3672459,(2014 KG39),2025-02-23,0.0594346868,48664.1302764077,18878369.628711877,False
3712903,(2015 EF),2025-02-23,0.0259441818,86552.6598531083,48040384.099053728,False
3781003,(2017 QF17),2025-02-23,0.6824015094,31925.5687501408,53112198.636172909,False
3994622,(2020 DV2),2025-02-23,0.0567596853,47183.7972606696,45025589.985806748,False
54065901,(2020 TS5),2025-02-23,0.0342010925,15644.2155433492,35361938.571564561,False
54245582,(2022 CQ2),2025-02-23,0.0622357573,107006.0184982112,72851166.319462835,False
54253541,(2022 EF4),2025-02-23,0.0428587972,23050.8552232539,64155612.882156459,False
54467481,(2024 QR1),2025-02-23,0.0968366995,62193.2914218348,18831866.233235157,False
54510160,(2024 YE6),2025-02-23,0.2512117673,17146.1073920227,25867807.439423671,False
54520170,(2025 DP1),2025-02-23,0.0153829624,20235.6604200633,3853978.369678341,False
3342249,(2006 SC),2025-02-22,0.0567596853,67701.0493716455,34736492.541171866,False
3409433,(2008 GC110),2025-02-22,0.2060819612,25198.4822814663,51174999.449065493,False
